"Qty";"Value";"Device";"Package";"Parts";"Description";"ARTIKEL_NR";"C-CH";"CERAMIC-TYPE";"CHANNELS";"CONTACT-RESISTANCE";"DATASHEET-URL";"DF";"DIAMETER";"ENDURANCE";"GENDER";"HEIGHT";"I-LEAK";"I-RIPPLE";"IPEAK";"IR";"IR-UL";"LENGTH";"MOUNT";"OPERATING-TEMPERATURE";"PACKAGING";"PART-NUMBER";"PDISS";"PINS";"PITCH";"QMIN";"RISO";"ROWS";"SIZE";"TECHNICAL-REFERENCE";"TYPE";"VALUE";"VBR";"VCLAMP";"VR";"WE-NUMBER";"WORKING-VOLTAGE";"WORKING-VOLTAGE-UL";
"2";" 61004021821 ";"6100XX21821_61004021821";"61004021821";"J5, J6";"WR-PHD 2.54mm SMT Socket Header";"";"";"";"";"";"https://www.we-online.com/redexpert/spec/61004021821?ae";"";"";"";"Socket Header";"";"";"";"";"3A";"";"";"SMT";"";"Tube";" 61004021821 ";"";" 40 ";"2.54mm";"";"";"Dual";"";"";"Straight";" 61004021821 ";"";"";"";"61004021821";"";"";
"4";" 61231620621 ";"6123XX20621_61231620621";"61231620621";"HUB08RG, HUB12RG, HUB75RGB, HUB75RGB.";"WR-BHD 2.54 mm Male SMT Box Header";"";"";"";"";"20mOhm";"https://www.we-online.com/redexpert/spec/61231620621?ae";"";"";"";"Male";"";"";"";"";"3A";"";"27.94mm";"SMT";"";"Tape and Reel with Cap";" 61231620621 ";"";" 16 ";"2.54mm";"";"";"";"";"";"Straight";" 61231620621 ";"";"";"";"";"250V(AC)";"";
"9";"100nF";"WCAP-CSGP_0805_H0.8_885012207098_50V(DC)_R";"WCAP-CSGP_0805_H0.8_R";"C2, C3, C4, C5, C6, C7, C8, C17, C19";"WCAP-CSGP MLCCs 0805";"";"";"X7R Class II";"";"";"https://www.we-online.com/redexpert/spec/885012207098?ae";"2.5%";"";"";"";"0.8mm";"";"";"";"";"";"";"SMT";"-55 up to +125 °C";"";" 885012207098 ";"";"";"";"-";"5GOhm";"";"0805";"X7R0805104K050DFCT10000";"";"100nF";"";"";"50V(DC)";"";"";"";
"1";"24Vdc";"WE-TVS_SOT23-3L_824094024";"WE-TVS_SOT23-3L";"D11";"WE-TVS TVS Diode – Standard Series";"";"38pF";"";" 2 ";"";"https://www.we-online.com/catalog/datasheet/824094024.pdf";"";"";"";"";"";"";"";"6A";"";"";"";"SMT";"";"";" 824094024 ";"";"";"";"";"";"";"";"";"";"24Vdc";"26.2V";"";"";"";"";"";
"1";"470uF";"WCAP-AS5H_10X10.5_865230357008";"WCAP-AS5H_10X10.5(DXL)";"C1";"WCAP-AS5H Aluminium Electrolytic Capacitors";"";"";"";"";"";"https://www.we-online.com/redexpert/spec/865230357008?ae";"22%";"10mm";"5000h";"";"10.5mm";"75.2uA";"320mA";"";"";"";"";"";"-40 °C up to +105 °C";"";" 865230357008 ";"";"";"";"";"";"";"";"ASDF105471M016DVCTEE000";"";"470uF";"";"";"16V(DC)";"";"";"";
"1";"47nF";"WCAP-CSGP_0805_H0.8_885012207096_50V(DC)_R";"WCAP-CSGP_0805_H0.8_R";"C15";"WCAP-CSGP MLCCs 0805";"";"";"X7R Class II";"";"";"https://www.we-online.com/redexpert/spec/885012207096?ae";"2.5%";"";"";"";"0.8mm";"";"";"";"";"";"";"SMT";"-55 up to +125 °C";"";" 885012207096 ";"";"";"";"-";"10GOhm";"";"0805";"X7R0805473K050DFCT10000";"";"47nF";"";"";"50V(DC)";"";"";"";
"1";"5V";"WE-TVSP_DO-214AB_3000W_BI_824551500";"WE-TVSP_DO-214AB_BIDIRECTIONAL";"D1";"WE-TVSP Power TVS Diode";"";"";"";"";"";"https://www.we-online.com/catalog/datasheet/824551500.pdf";"";"";"";"";"";"";"";"326.1A";"";"";"";"SMT";"";"";" 824551500 ";"3000W";"";"";"";"";"";"";"";"";"5V";"6.7V";"9.2V";"";"";"";"";
"2";"60R";"R-EU_R0805";"R0805";"R1, R3";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"618009231421";"6180XX231421_618009231421";"618009231421";"J2";"WR-DSUB 10.30 mm Male Angled PCB Connector w. Hex Screw";"";"";"";"";"";"https://www.we-online.com/redexpert/spec/618009231421?ae";"";"";"";"Male";"";"";"";"";"";"";"";"";"";"";"618009231421";"";" 9 ";"";"";"";"";"";"";"Angled";"618009231421";"";"";"";"618009231421";"125 V(AC)";"";
"1";"691357310006B";"691357310006B";"691357310006B";"J1";"WR-TBL Serie 357B - 3.81 mm Double Level Horizontal Male PCB Header with Flanges";"";"";"";"";"";"https://www.we-online.com/redexpert/spec/691357310006B?ae";"";"";"";"";"";"";"";"";"";"10A";"";"THT";"";"";"691357310006B";"";" 6 ";"3.81mm";"";"";"";"";"";"Double Level Horizontal";"691357310006B";"";"";"";"";"";"300V (AC)";
"2";"74AHCT245";"74LCX245_TSSOP20";"TSSOP20";"U8, U9";"74LCX245MTC - 5.0V Tolerant Bi-Directional Buffer";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JUMPER-SMT_2_NO_SILK_ROUND";"JUMPER-SMT_2_NO_SILK_ROUND";"SMT-JUMPER_2_NO_SILK_ROUND";"JP1";"Normally open jumper";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MAX232D";"MAX3232-SOIC16";"SOIC16";"U2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"TLE9250VSJ";"TLE9250VSJ";"SOIC127P602X173-8N-V";"U4";"TLE9250VSJ";"545599";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
